text,label
The Eiffel Tower is in Paris.,1
Water is made of hydrogen and oxygen.,1
The Sun rises in the east.,1
Mount Everest is the tallest mountain on Earth.,1
Humans have two lungs.,1
The Pacific is the largest ocean.,1
A triangle has three sides.,1
Honey is produced by bees.,1
The Great Wall is in Egypt.,0
The Moon is made of cheese.,0
Fish can breathe on dry land.,0
The Sun orbits the Earth.,0
A square has five corners.,0
Penguins can fly long distances.,0
Ice is hotter than boiling water.,0
Spiders have six legs.,0
