id,srcs,1,2,3,avg,sum,label
congo_historical__tthtitihtimhik,"['The Congo Free State was a private colony founded by King Leopold II of Belgium in 1885.', 'The colony was rich in natural resources, including rubber, ivory, and copper.', 'However, the Congolese people were forced to work in harsh conditions for little or no pay.', 'They were also subjected to violence and abuse by the colonial authorities.', 'In 1908, the Congo Free State was transferred to the Belgian government.', 'The Belgian colonial administration made some improvements to the lives of the Congolese people, but they still faced many hardships.', 'In 1960, the Congo gained its independence from Belgium.', 'However, the country was quickly plunged into a civil war.', 'The war lasted for five years and resulted in the deaths of millions of people.', 'In 1965, Mobutu Sese Seko seized power in a military coup.', 'Mobutu ruled the country for 32 years, during which time he became one of the richest men in the world.', 'He also became a dictator, who suppressed dissent and human rights.', 'In 1997, Mobutu was overthrown by Laurent Kabila.', 'Kabila ruled the country until he was assassinated in 2001.']",1.0,1.0,-1.0,0.0,1.0,1
custom_4__iifdfdfd,"[""I'm Dr. Boakye, a pediatrician at the Korle Bu Teaching Hospital."", ""I'm here today to talk to you about the new malaria vaccine that's been approved for use in Ghana."", ""Father: I'm not interested in having my children vaccinated."", ""Doctor: I understand that you're concerned, but I'd like to take a few minutes to explain why I think it's a good idea to vaccinate your children against malaria."", ""Father: I don't need to be convinced. Malaria is a serious disease, but it's not that common in our village."", ""Doctor: That's true, but malaria is still a major public health problem in Ghana. In 2020, there were over 24 million cases of malaria in Ghana, and over 4,000 people died from the disease"", ""Father: But my children are healthy. They've never had malaria"", ""Doctor: That's good, but it doesn't mean they're immune. Anyone can get malaria, even if they've never had it before.""]",1.0,2.0,2.0,2.0,5.0,1
dr_congo__tihttkhittt,"['The Democratic Republic of the Congo (DRC) is a country in Central Africa with a population of over 80 million people.', 'It is the second-largest country in Africa by area, and is endowed with vast natural resources, including copper, cobalt, diamonds, and gold.', 'However, the DRC has been plagued by conflict for decades, which has had a devastating impact on its people and economy.', 'The first major conflict in the DRC was the First Congo War, which lasted from 1996 to 1997.', 'This war was fought between the government of Mobutu Sese Seko and a rebel group led by Laurent Kabila.', 'Kabila eventually succeeded in overthrowing Mobutu and taking power.', ""However, Kabila's rule was short-lived."", 'In 1998, he was overthrown by a new rebel group led by Jean-Pierre Bemba.', 'This led to the Second Congo War, which lasted until 2003.', 'The Second Congo War was the deadliest conflict in modern African history, and resulted in the deaths of over 5 million people.', 'The DRC has also been plagued by political instability.']",2.0,2.0,2.0,2.0,6.0,1
egypt_current__eieteitiighistihmh,"['Egypt is a country in North Africa.', 'It is bordered by Libya to the west, Sudan to the south, and the Mediterranean Sea to the north.', 'Egypt has a population of over 100 million people.', 'The capital city is Cairo.', 'Egypt has a long and rich history.', 'It was the home of the ancient Egyptian civilization, which was one of the most advanced civilizations in the world.', 'The ancient Egyptians built many pyramids, temples, and other monuments.', 'In the 20th century, Egypt was ruled by a monarchy.', 'In 1952, a military coup overthrew the monarchy and established a republic.', 'Gamal Abdel Nasser was the first president of the republic.', 'He was a popular leader who promoted Arab nationalism.', 'In 1970, Nasser died and was succeeded by Anwar Sadat.', 'Sadat signed a peace treaty with Israel in 1979.', 'This treaty was controversial in Egypt, but it helped to improve relations between Egypt and Israel.', 'In 1981, Sadat was assassinated by Islamic extremists.', 'He was succeeded by Hosni Mubarak.', 'Mubarak ruled Egypt for 30 years.', 'He was a controversial leader, but he maintained stability in the country.']",1.0,1.0,1.0,1.0,3.0,1
eritrea_current__ttiaititot,"['The most recent major news event in Eritrea was the 2018 Eritrean–Ethiopian peace agreement.', 'This agreement ended a 20-year war between the two countries and resulted in the reopening of borders and the resumption of trade.', 'It was a significant step forward for regional stability and peace.', 'Another recent development is the 2019 Eritrean presidential election.', 'Isaias Afwerki, who has been president of Eritrea since 1993, was re-elected for a fifth term with 99% of the vote.', 'The election was widely criticized by international observers as not being free or fair.', 'In addition to these major events, there have also been a number of smaller news stories in Eritrea over the past few years.', 'These include the 2016 closure of the United Nations office in Eritrea, the 2017 release of several political prisoners, and the 2018 visit of Pope Francis to the country.', 'Overall, the past few years have been a period of relative stability and progress for Eritrea.', 'The country has made significant steps towards peace and reconciliation with its neighbors, and there have been some positive developments on the human rights front.']",2.0,1.0,2.0,2.0,5.0,1
ghana_entities__sssgi,"['Some of the most important places in Ghana include Accra, the capital city; Cape Coast, a major port city; Kumasi, the second-largest city; and Mole National Park, a UNESCO World Heritage Site.', 'Some of the most important historical figures in Ghana include Osei Tutu I, the founder of the Ashanti Empire; Kwame Nkrumah, the first president of Ghana; and Kofi Annan, the former Secretary-General of the United Nations.', 'Some of the most important current figures in Ghana include Nana Akufo-Addo, the current president; John Mahama, the former president; and Dr. Kwabena Duffuor, the former governor of the Bank of Ghana.', 'Ghana is a beautiful country with a rich history and culture.', 'It is a popular tourist destination and is home to many important historical and cultural sites.']",1.0,1.0,-1.0,0.0,1.0,1
ivory_coast__itghihgitth,"['Ivory Coast is a country in West Africa that has been in the midst of a civil war since 2010.', 'The conflict began after incumbent president Laurent Gbagbo refused to accept defeat in the 2010 presidential election.', 'Gbagbo was eventually ousted by forces loyal to Alassane Ouattara, who was declared the winner of the election.', 'However, the conflict has continued, with sporadic violence breaking out in the country.', 'In 2017, there were hopes that the country would finally be able to move on from the civil war.', 'However, these hopes were dashed when Gbagbo was acquitted of charges of crimes against humanity by the International Criminal Court.', ""Gbagbo's acquittal was seen as a blow to the peace process, and it led to renewed violence in the country."", 'In 2018, the United Nations Security Council imposed sanctions on Gbagbo and his supporters.', 'The sanctions were aimed at pressuring Gbagbo to end his support for violence in the country.', 'The sanctions have had some success, and there has been a decrease in violence in Ivory Coast since they were imposed.', 'However, the country is still far from stable.']",-1.0,1.0,1.0,0.0,1.0,1
kenya_historical__tittti,"['The Mau Mau Uprising was a major event in Kenyan history.', 'It was a rebellion against British colonial rule that lasted from 1952 to 1960.', 'The uprising was led by the Mau Mau, a secret society of Kikuyu people who were opposed to British rule.', 'The Mau Mau used violence and intimidation to achieve their goals, and they were responsible for the deaths of many British and Kenyan civilians.', 'The uprising was eventually put down by British forces, but it had a major impact on Kenyan history.', 'It led to the end of British colonial rule and the independence of Kenya in 1963.']",1.0,1.0,-1.0,0.0,1.0,1
libya_current__taiittt,"[""The Libyan Civil War is an ongoing armed conflict in Libya that began in 2011 with the overthrow of Muammar Gaddafi's government."", 'After the fall of Tripoli, the Libyan National Transitional Council (NTC) proclaimed the establishment of the Libyan Interim Government, but the country descended into a state of lawlessness with two rival governments, the NTC and the Libyan National Army (LNA), and a number of militias vying for power.', 'In 2014, the Libyan House of Representatives (HoR) was elected in the eastern city of Tobruk, but the HoR has been unable to exercise effective control over the country.', ""In 2016, the Government of National Accord (GNA) was formed in Tripoli under the auspices of the United Nations, but the GNA has been unable to gain control of the country's eastern regions."", 'The LNA, led by Khalifa Haftar, has been fighting against the GNA and its allies in the west of the country.', 'The conflict has led to a humanitarian crisis, with hundreds of thousands of people displaced from their homes.', 'The United Nations has called for an immediate ceasefire and the start of a political dialogue.']",1.0,-1.0,1.0,0.0,1.0,1
malawi_historical__ttiitidh,"['The Nyasaland African Congress (NAC) was founded in 1944 by Dr. Hastings Kamuzu Banda and other Malawian nationalists.', 'The NAC was the first political party in Malawi to advocate for African independence from British colonial rule.', 'In 1953, the NAC was banned by the British colonial authorities, but it continued to operate underground.', 'In 1961, the NAC was legalized and renamed the Malawi Congress Party (MCP).', 'The MCP won the first general elections held in Malawi in 1964, and Dr. Banda became the first Prime Minister of Malawi.', 'In 1966, Malawi became a republic, with Dr. Banda as the first President.', 'Dr. Banda ruled Malawi as a one-party state for 30 years.', 'He was a controversial figure, but he is also credited with modernizing Malawi and bringing it independence.']",2.0,2.0,2.0,2.0,6.0,1
